date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:27	67094/67094	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-webfont.eot?	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-webfontd41d.eot	(from https://duereview.readyplanet.site/)
15:23:27	41052/41052	---M--	200	added ('OK')	application/font-woff	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-webfont.woff	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-webfont.woff	(from https://duereview.readyplanet.site/)
15:23:27	66332/66332	---M--	200	added ('OK')	font/ttf	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfont.ttf	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfont.ttf	(from https://duereview.readyplanet.site/)
15:23:27	66522/66522	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfont.eot?	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfontd41d.eot	(from https://duereview.readyplanet.site/)
15:23:27	40356/40356	---M--	200	added ('OK')	application/font-woff	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfont.woff	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/fonts/db-adman-x-bd-webfont.woff	(from https://duereview.readyplanet.site/)
15:23:28	25975/25975	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.min.css	(from https://duereview.readyplanet.site/)
15:23:28	12454/12454	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.structure.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.structure.min.css	(from https://duereview.readyplanet.site/)
15:23:28	13791/13791	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.theme.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery-ui/css/jquery-ui-1.11.0.stable.theme.min.css	(from https://duereview.readyplanet.site/)
15:23:28	2066/2066	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.colorbox/colorbox.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.colorbox/colorbox.min.css	(from https://duereview.readyplanet.site/)
15:23:28	9162/9162	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.qtip/jquery.qtip-2.2.0.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.qtip/jquery.qtip-2.2.0.min.css	(from https://duereview.readyplanet.site/)
15:23:29	44241/44241	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.mCustomScrollbar/css/jquery.mCustomScrollbar.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.mCustomScrollbar/css/jquery.mCustomScrollbar.css	(from https://duereview.readyplanet.site/)
15:23:29	31019/31019	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/css/font-awesome-4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/font-awesome-4.7.0/css/font-awesome.min.css	(from https://duereview.readyplanet.site/)
15:23:29	1877/1877	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/css/fontello/css/fontello.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/fontello/css/fontello.css	(from https://duereview.readyplanet.site/)
15:23:29	6003/6003	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.simplePagination/simplePagination.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.simplePagination/simplePagination.css	(from https://duereview.readyplanet.site/)
15:23:30	1632/1632	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.dropdown/jquery.dropdown.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.dropdown/jquery.dropdown.min.css	(from https://duereview.readyplanet.site/)
15:23:30	18871/18871	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.tosrus/css/jquery.tosrus.all.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.tosrus/css/jquery.tosrus.all.css	(from https://duereview.readyplanet.site/)
15:23:30	33818/33818	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/css/flag-icon-css/css/flag-icon.min.css	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/flag-icon-css/css/flag-icon.min.css	(from https://duereview.readyplanet.site/)
15:23:30	2846/2846	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/js/jquery.lightbox2/dist/css/lightbox.min.css?v=4.37.0	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/js/jquery.lightbox2/dist/css/lightbox.min5e03.css	(from https://duereview.readyplanet.site/)
15:23:30	80314/80314	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jan%202020%2018:48:20%20GMT	https://duereview.readyplanet.site/modules/flexi/css/always.css?v=4.37.0	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/always5e03.css	(from https://duereview.readyplanet.site/)
15:23:31	343/343	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/images/add-button.png	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/images/add-button.png	(from https://duereview.readyplanet.site/)
15:23:31	200/200	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2018:40:14%20GMT	https://duereview.readyplanet.site/modules/flexi/images/select-white.png	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/images/select-white.png	(from https://duereview.readyplanet.site/)
15:23:31	757/757	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Aug%202019%2018:40:15%20GMT	https://duereview.readyplanet.site/modules/flexi/images/trash-icon.png	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/images/trash-icon.png	(from https://duereview.readyplanet.site/)
15:23:32	2206/2206	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jan%202020%2018:48:29%20GMT	https://duereview.readyplanet.site/modules/flexi/css/no-sidebar.css?v=4.37.0	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/no-sidebar5e03.css	(from https://duereview.readyplanet.site/)
15:23:32	566/566	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Jan%202020%2018:48:29%20GMT	https://duereview.readyplanet.site/modules/flexi/css/no-logo.css?v=4.37.0	C:/My%20Web%20Sites/duereview/duereview.readyplanet.site/modules/flexi/css/no-logo5e03.css	(from https://duereview.readyplanet.site/)
